Name,Address,Location,Price,Cuisine,Longitude,Latitude,PhoneNumber,Url,WebsiteUrl,Award,GreenStar,FacilitiesAndServices,Description
HAJIME,"1-9-11 Edobori, Nishi-ku, Osaka, 550-0002, Japan","Osaka, Japan","¥¥¥¥",Innovative,135.496084,34.688612,+81664476688,https://guide.michelin.com/en/osaka-region/osaka/restaurant/hajime,http://www.hajime-artistes.com/,"3 Stars",0,"Air conditioning,Interesting wine list,Restaurant offering vegetarian menus","An artwork resembling a planet dominates the dining room. Look closely and the ‘planet’ contains overlapping images of cuisine, which gather together to form a picture of the Earth. ‘Dialogue with the Earth’ is, indeed, the theme of this restaurant. The experience of growing up amid the beauty of nature shaped the bold world view of Hajime Yoneda. The digitised recipes and detailed cuisine attest to his experience as a system engineer. Cuisine that draws inspiration from all Creation is imbued with love and respect for nature."
"Kikunoi Honten","459 Shimokawaracho, Higashiyama-ku, Kyoto, 605-0825, Japan","Kyoto, Japan","¥¥¥¥",Japanese,135.782079,35.001535,+81755610015,https://guide.michelin.com/en/kyoto-region/kyoto/restaurant/kikunoi-honten,https://kikunoi.jp/,"3 Stars",0,"Air conditioning,Car park,Shoes must be removed","The elegant garden and well-appointed ceremonial space speak of a gracious atmosphere born of unbroken tradition. The fare presented encapsulates the creed of ‘kirei sabi’, or cheerful beauty within a classic form. That which does not change, changes continually. Innovation that gives birth to tradition is the human science of Chef Yoshihiro Murata. ‘The traditional Japanese restaurant is the art gallery of the Japanese aesthetic’, Murata observes, and the aesthetic of Kyoto is elegant simplicity."
"Isshisoden Nakamura","136 Matsushitacho, Nakagyo-ku, Kyoto, 604-8093, Japan","Kyoto, Japan","¥¥¥¥",Japanese,135.765083,35.010397,+81752215511,https://guide.michelin.com/en/kyoto-region/kyoto/restaurant/isshisoden-nakamura,http://www.kyoryori-nakamura.com/,"3 Stars",0,"Air conditioning,Shoes must be removed","Isshisoden Nakamura started out as a business hauling fish from the Wakasa region to Kyoto. For Motokazu Nakamura, the sixth-generation owner-chef, his restaurant’s name does not refer to a secret cooking technique passed down to a single heir, but rather to the spirit of treasuring every meeting. For the shiromiso zoni, the miso is dissolved in water alone.  The remains of the sweet-grilled tilefish are turned into soup, not letting any flavour escape. The water bubbling up from the tiny inner garden is behind this restaurant’s best-known dishes."
Mizai,"613 Maruyamacho, Higashiyama-ku, Kyoto, 605-0071, Japan","Kyoto, Japan","¥¥¥¥",Japanese,135.782364,35.002993,+81755513310,https://guide.michelin.com/en/kyoto-region/kyoto/restaurant/mizai,https://mizai.jp/,"3 Stars",0,"Air conditioning,Cash only,Counter dining,Notable sake list","‘Mizai’ means ‘not there yet’, the creed by which owner-chef Hitoshi Ishihara lives. All guests are served at the same time under the concept of ‘building together’ to facilitate communication. Rice is served freshly steamed rice and scorched to signify thanksgiving to Japan for her bounty. The matcha is made with holy water from Yasaka Shrine. Taking to heart the counsel of 16C tea master Sen-no-Rikyu, ‘arrive before the appointed time’, Ishihara is already waiting for customers at 6:00 p.m."
"Gion Sasaki","566-27 Komatsucho, Higashiyama-ku, Kyoto, 605-0811, Japan","Kyoto, Japan","¥¥¥¥",Japanese,135.775049,34.998881,+81755515000,https://guide.michelin.com/en/kyoto-region/kyoto/restaurant/gion-sasaki,http://gionsasaki.com/,"3 Stars",0,"Air conditioning,Counter dining,Shoes must be removed","Gion Sasaki is tackling new challenges, where ‘everyone’s a star’. Staff members work together to propose menu items in a dialogue between younger members, who hold the future of cuisine in their hands, and Hiroshi Sasaki with his wealth of experience. The practice inspires the younger cooks while bringing everyone together. The central presence of a grill reminds staff of the origins of cooking. Sasaki continues to drive a revolution in Kyoto cuisine."
"Kashiwaya Osaka Senriyama","2-5-18 Senriyamanishi, Suita, Osaka, 565-0851, Japan","Osaka, Japan","¥¥¥",Japanese,135.501289,34.770287,+81663862234,https://guide.michelin.com/en/osaka-region/osaka/restaurant/kashiwaya-osaka-senriyama,https://jp-kashiwaya.com/,"3 Stars",1,"Air conditioning,Interesting wine list,Notable sake list,Shoes must be removed","The interior, ceremonial space and dining-ware remind one of a tea ceremony room. The menu is based on the traditional division of the year into 24 seasons, underscoring their ephemeral nature. Owner-chef Hideaki Matsuo follows the calendar and respects historical events and lore, passing Japanese culture to the next generation. He is always creative and ready to experiment with new flavours. The auspiciously named ‘Dragon Cloud Grill’ was inspired by French soufflé. A modern sensibility is on generous display."
ES:SENZ,"Mietenkamer Straße 65, Grassau, 83224, Germany","Grassau, Germany","€€€€","Creative, Modern Cuisine",12.4656176,47.7856302,+498641401609,https://guide.michelin.com/en/bayern/grassau/restaurant/es-senz,https://www.das-achental.com/,"3 Stars",0,"Air conditioning,Car park,Interesting wine list","Here in the restaurant of Das Achental hotel, Edip Sigl impresses diners with his distinctive culinary style. His dishes are modern, sophisticated and packed with flavour and intense contrasts. However, they always remain wonderfully balanced. For example, the fantastic Mieral pigeon is given a nice barbecued note with a roasted finish and served with a harmonious onion and beetroot filling in a crispy baked tart and slices of intense-flavoured Périgord truffle. Diners choose from two set menus comprising six or eight courses dubbed ""Chiemgau pur"" and ""Chiemgau goes around the world"". As the names suggest, the first is dedicated entirely to premium produce from the Chiemgau region, while the second combines local and international ingredients. Be it Balfego tuna, brown trout or lamb, the quality of the produce is outstanding! The sophistication of the cuisine is matched by the courteous waitstaff, who also provide sound wine recommendations. Tip: Ask for a table by the large window front in the chic dining space for a view of the garden."
"Waldhotel Sonnora","Auf'm Eichelfeld 1, Dreis, 54518, Germany","Dreis, Germany","€€€€","Classic French",6.8109342,49.9377323,+49657898220,https://guide.michelin.com/en/rheinland-pfalz/dreis/restaurant/waldhotel-sonnora,https://www.hotel-sonnora.de/,"3 Stars",0,"Car park,Garden or park,Interesting wine list","This legendary fine dining establishment has an exemplary pair of hosts in husband-and-wife team Magdalena and Clemens Rambichler. In the kitchen, the chef cultivates the house specialities, such as ""Kleine Torte"" of beef tenderloin tartare with N25 caviar, but also showcases his own style. Top-notch ingredients are precisely prepared, down to the last detail, without the importance of flavour ever being lost from sight. This starts with the amuse-bouches (a veritable explosion of flavours!), followed, for example, by the excellent firm-fleshed, charcoal-grilled turbot from the Vendeé – which has a wonderful smoky aroma – harmoniously combined with terrific fresh black morels, fine white asparagus and a very elegant PX sherry note in the classic beurre noisette. The set menu features two intriguing wine pairings. You can also dine à la carte. Magdalena Rambichler is always on hand, cordial and extremely competent as she heads up the service team. The decor is stylish, elegant and discreetly modern. The inviting individually designed guestrooms are equally fabulous."
"The Table Kevin Fehling","Shanghaiallee 15, Hamburg, 20457, Germany","Hamburg, Germany","€€€€","Creative, International",10.0028597,53.5426398,+494022867422,https://guide.michelin.com/en/hamburg-region/hamburg/restaurant/the-table-kevin-fehling,https://thetable-hamburg.de/,"3 Stars",0,"Air conditioning,Counter dining","In his set menu ""Das Tor zur Welt"" (""Gateway to the World""), Kevin Fehling makes use of various components and flavours from far-flung places such as Asia or South America, and also likes to marry these with elements of classic French cuisine. For example, the combination of unagi (eel cooked Japanese style) with smoked unstuffed foie gras, nori, wasabi, and shiso creates a unique sense of balance with pleasing contrasts. But you don't always have to go so far afield; for instance, the quail crépinette and confit leg with ratatouille cake, sardine and gremolata is equally compelling when it comes to the quality of the produce, depth of flavour and meticulous craftsmanship. And these are not the only two dishes that come as a set of variations on a theme, each of which showcases the excellent main ingredients beautifully. The setting is stylish and relaxed, and from your spot at the long and winding table after which the restaurant is named, you can watch the action in the kitchen – everything runs without a hitch!"
Aqua,"Parkstraße 1, Wolfsburg, 38440, Germany","Wolfsburg, Germany","€€€€","Creative, Modern Cuisine",10.789999,52.4331722,+495361606056,https://guide.michelin.com/en/niedersachsen/wolfsburg/restaurant/aqua79029,http://www.restaurant-aqua.com,"3 Stars",0,"Air conditioning,Car park,Interesting wine list,Valet parking,Wheelchair access","The Ritz-Carlton is located in the heart of Volkswagen's fascinating Autostadt, and here – somewhat hidden on the ground floor at the end of a corridor – is a truly worthwhile destination for any gourmet: Aqua. The decor is elegant and sleek, the front-of-house team is professional and at the same time pleasantly informal and friendly – there's no need to be intimidated by three-star cuisine here! The dishes are impressively innovative, occasionally surprising and feature remarkably bold combinations. It's not just ""Sicher char & roasted beechnut seeds, avocado & cucumber"" or "" lobster & braised pork chin, carrot, crustacean mayonnaise"" that whet the appetite. Sven Elverfeld always succeeds in presenting complex dishes with ease. To sum up: this place is all about eating, experiencing and enjoying!"
JAN,"Luisenstraße 27, Munich, 80333, Germany","Munich, Germany","€€€€","Creative, Modern Cuisine",11.5629878,48.1447975,+498923708658,https://guide.michelin.com/en/bayern/mnchen/restaurant/jan-1204321,https://jan-hartwig.com/,"3 Stars",0,"","Quality of the highest standard is guaranteed at Jan Hartwig's own restaurant. Here, he creates a set menu comprising seven courses, expandable with ""signature dishes"". His culinary creations are precise and carefully considered down to the last detail; each has its own identity and features wonderful – occasionally surprising – combinations. The premium red mullet served in a yoghurt cream with garlic and black and green stripe of plankton is mind-blowing both in terms of flavour and appearance. An elegant crustacean foam provides the perfect finishing touch. The set menu is available for lunch and dinner – it's also possible to have a shortened version at lunchtime. The design is sleek, chic and upscale; depending on where you sit, you can look through the open door or open pass into the kitchen, dubbed the Labor der Liebe (""Laboratory of Love""). The atmosphere is harmonious, and the service team led by maître d' Kilian Skalet is dedicated and professional. The impressive wine list includes specialities such as magnums, jeroboams and special vintages."
"Restaurant Bareiss","Hermine-Bareiss-Weg 1, Baiersbronn, 72270, Germany","Baiersbronn, Germany","€€€€","Classic French",8.3269876,48.5205845,+497442470,https://guide.michelin.com/en/baden-wurttemberg/baiersbronn/restaurant/restaurant-bareiss,https://www.bareiss.com/,"3 Stars",0,"Air conditioning,Car park,Interesting wine list,Restaurant offering vegetarian menus,Wheelchair access","Claus-Peter Lumpp is truly a master of his trade! Since March 1992, the native Swabian has been head chef at the Bareiss fine dining restaurant and is, so to speak, part of the furniture. His cuisine is still classically French in style, but he also incorporates modern elements. He combines, for example, top fresh and tender roasted langostino with pumpkin in the form of jelly, fine slices and puree as well as a crustacean sauce with tremendous strength and flavour expression, refined with a bit of ginger. The wonderful cheese trolley deserves a mention, and the trolley of sweets and chocolates is equally enticing. Then there is the refined atmosphere, which is in no small part down to the excellent service provided under the tutelage of Thomas Brandt, a maître d' of the old school. Sommelier Teoman Mezda provides excellent wine recommendations. It's a bonus that you can also enjoy this at lunchtime!"
Rutz,"Chausseestraße 8, Berlin, 10115, Germany","Berlin, Germany","€€€€","Modern Cuisine, Creative",13.3860867,52.5283507,+493024628760,https://guide.michelin.com/en/berlin-region/berlin/restaurant/rutz,https://rutz-restaurant.de/,"3 Stars",1,"Air conditioning,Interesting wine list,Terrace","Let yourself be taken on a ""journey"" courtesy of Marco Müller's ""Inspiration"" tasting menu, over the course of which he applies his own clear culinary style to skilfully build a narrative arc. The pleasant team will explain the ideas behind the dishes in a relaxed and informal way and are happy to answer questions. The menu features terrific ingredients such as Wagyu beef from Germany, the distinctive flavour of which is in a class of its own, and squid (an invasive species from the North Sea). From rabbit tartare or dry-aged carp, some of the dishes here are sure to surprise even experienced foodies at times – in an absolutely positive way! It is remarkable how the best products are showcased here while retaining their authenticity - everything looks so effortless and yet is full of complexity. In summer, the best place to sit is on the small but inviting terrace. If you are in Berlin, don't miss the opportunity to try this cuisine!"
"Victor's Fine Dining by christian bau","Schlossstraße 27, Perl, 66706, Germany","Perl, Germany","€€€€",Creative,6.3872109,49.5351732,+49686679118,https://guide.michelin.com/en/saarland/perl/restaurant/victor-s-fine-dining-by-christian-bau,https://www.victors-fine-dining.de/,"3 Stars",0,"Air conditioning,Car park,Interesting wine list,Notable sake list","Few chefs could bring together the flavours of French and Japanese cuisine more distinctively than Christian Bau. Elements of both styles can be found in his ""Paris-Tokyo"" set menu, a fine example being his mackerel with caviar, buttermilk, yuzu kosho and chives, served on an elaborate Japanese waffle. His meticulous craftsmanship is second to none, as is the exceptional quality of the produce. He skilfully incorporates fresh ideas while remaining true to his own unique style. His dishes are perfectly balanced and full of finesse, but most of all they are truly original. There is also a range of ""specials"" with which to supplement the set menu. Charming and professional service."
"schanz. restaurant.","Bahnhofstraße 8a, Piesport, 54498, Germany","Piesport, Germany","€€€€","Modern French, Creative",6.9266002,49.8776003,+49650792520,https://guide.michelin.com/en/rheinland-pfalz/piesport/restaurant/schanz-restaurant,https://www.schanz-restaurant.de/de/,"3 Stars",0,"Air conditioning,Car park,Interesting wine list,Wheelchair access","You would not necessarily expect to find such a first-class restaurant in tranquil Piesport. It is thanks to Thomas Schanz that this small town on the Moselle, already known for its excellent wines, has also become a mecca for foodies. With his own distinctive style, he puts a modern spin on classic cuisine, harmoniously combining bold flavours. He is uncompromising when it comes to the quality of his ingredients. One signature dish not to be missed is the truffle egg; another tempting option is the wild turbot, garnished with rings of green apple and cream, accompanied by pralines of poached lettuce with a pistachio filling, complemented by the exquisite acidity of a wonderfully powerful blossom and hay infusion. The team are dedicated to recommending just the right wine to you – including bottles from their own winery. Thomas Schanz is not only a trained chef but a hotelier as well, and there are lovely guestrooms in the hotel he has taken over from his parents."
Schwarzwaldstube,"Tonbachstraße 237, Baiersbronn, 72270, Germany","Baiersbronn, Germany","€€€€","Classic French, Creative",8.3582803,48.5369113,+497442492665,https://guide.michelin.com/en/baden-wurttemberg/baiersbronn/restaurant/schwarzwaldstube,https://www.traube-tonbach.de/restaurants-bar/schwarzwaldstube/,"3 Stars",0,"Air conditioning,Car park,Great view,Interesting wine list,Restaurant offering vegetarian menus,Wheelchair access","Schwarzwaldstube, the flagship restaurant of the Traube Tonbach hotel, is modern and elegant with a regional flavour; the floor-to-gable glass-paned façade affords unobstructed views of the valley. Chef Torsten Michel and his team bowl diners over with a savvy mix of dishes that draw on modern and classic influences. Made using top-notch ingredients, these are clearly structured creations brimming with finesse and flavours. Diners are offered a choice between a short and a longer tasting menu, as well as a vegetarian set menu. The ""Ikejime France"" lacquered sea bass fillet with a crispy skin, served with a pearlescent jus made from roasted perch carcasses with sea buckthorn and maple syrup, for example, is especially tempting. Piet Gliesche's wonderful desserts are the perfect ending to any meal. And then there is the extremely pleasant, perfectly organised service team led by restaurant manager Nina Mihilli and head sommelier Stéphane Gass, who is highly competent and has bags of personality."
"La Table du Castellet","3001 route des Hauts-du-Camp, au Circuit Paul Ricard, Le Castellet, 83330, France","Le Castellet, France","€€€€",Creative,5.7838874,43.2499288,+33494983777,https://guide.michelin.com/en/provence-alpes-cote-dazur/le-castellet/restaurant/la-table-du-castellet,http://www.hotelducastellet.net/fr/restaurants/restaurant-gastronomique,"3 Stars",0,"Air conditioning,Car park,Garden or park,Interesting wine list,Restaurant offering vegetarian menus,Valet parking,Wheelchair access","Within the walls of this well-known luxury resort, Provençal bliss reigns supreme. Grounds overlooking the Var hinterland, the Mediterranean on the horizon, ponds, lavender beds… and a superb take on the cuisine of the South of France. Former sous-chef to Christophe Bacquié, Fabien Ferré is working his magic. He has an artist's sensitivity to Mediterranean produce, calling to mind Matisse, who was captivated by the light of Provence. He cooks up a high-calibre storm with two tasting menus – one vegetable-based, the other showcasing fish/seafood, which features dishes such as prawn carabineros with Meyer lemon and coral sauce, or squid with marjoram. His refined and virtuoso cuisine elevates the natural flavour of the ingredients, bolstered by memorably full-bodied sauces, a case in point being the aloe vera-scented vinaigrette that accompanies the mackerel fillet. As for desserts, pastry chef François Luciano delivers fresh and light seasonal creations, for example grapefruit with meadowsweet and Brousse du Rove goat's cheese. It is arguably worth the trip here just for the cheese cellar. Plus a terrific selection of wines and a heavenly terrace for an aperitif and coffee."
"Plénitude - Cheval Blanc Paris","8 quai du Louvre, Paris, 75001, France","Paris, France","€€€€",Creative,2.3421588,48.8588148,+33179355011,https://guide.michelin.com/en/ile-de-france/paris/restaurant/plenitude-cheval-blanc-paris,https://www.chevalblanc.com/fr/maison/paris/,"3 Stars",0,"Air conditioning,Great view,Interesting wine list,Valet parking,Wheelchair access","The revamped Samaritaine department store is home to the luxurious Cheval Blanc Hotel, within whose walls lies this restaurant, the haunt of low-profile chef, Arnaud Donckele, who has three stars to his name at La Vague d'Or in St Tropez. Wholly committed, he pops in and out of the kitchen to share his passion with diners. His new spin on classical cuisine takes you on a voyage between Normandy, his place of birth, and the Mediterranean, his home of adoption and the Paris region… It is impossible not to be bowled over by his work, from its delicacy and generosity to the exceptional quality of the ingredients. This virtuoso sauce maker, who can be compared with a perfume “nose” or an oenologist, lavishes phenomenal care and attention over his jus, dressings and sauces which should be tasted first to better appreciate the complex aromatic universe of each dish. When it comes to the sweet course, he can count on Maxime Frédéric, previously of the George V, to take the desserts to a whole new dimension. The absolute pinnacle of fine dining."
"Le Petit Nice","Anse de Maldormé, Marseille, 13007, France","Marseille, France","€€€€",Seafood,5.3520484,43.2802565,+33491592592,https://guide.michelin.com/en/provence-alpes-cote-dazur/marseille/restaurant/le-petit-nice,https://www.passedat.fr,"3 Stars",0,"Air conditioning,Car park,Great view,Interesting wine list,Restaurant offering vegetarian menus,Terrace,Wheelchair access","Le Petit Nice is inextricably linked to its city, Marseille, and to Gérald Passedat's personality. ""I dive into the Mediterranean, in every sense of the word,"" says the chef. ""It carries me and inspires me, as well as all the lands that surround it."" It would be an understatement to say that he has drawn inspiration from the Mediterranean terroir (fruit, vegetables, cereals, fish, spices etc) to forge his culinary identity. For example, over 65 types of fish are used in the kitchen, from sea bream, dentex and pike-perch to whiting, comber, and sometimes even moray eel. Gérald Passedat, heir to a family of artists and once a student of Alain Chapel, the Troisgros brothers and Michel Guérard, has lost none of the pleasure he takes in cooking and in surprising and thrilling diners. A taste of the Calanques..."
Mirazur,"30 avenue Aristide-Briand, Menton, 06500, France","Menton, France","€€€€",Creative,7.5280514,43.7859304,+33492418686,https://guide.michelin.com/en/provence-alpes-cote-dazur/menton/restaurant/mirazur,https://www.mirazur.fr/,"3 Stars",1,"Air conditioning,Car park,Garden or park,Great view,Interesting wine list,Restaurant offering vegetarian menus,Wheelchair access","Born in La Plata in 1976, Argentine chef Mauro Colagreco's destiny has turned out to be nothing short of exceptional. After working alongside many of the greats, he struck out on his own… and found what he was looking for in Menton. Mirazur is the ""last house before Italy"" and looks the sky and the open sea straight in the eye: many a visitor has been hypnotised by the exceptional view of the Mediterranean. Supported by a talented team and a firm believer in the benefits of ultra-short food supply chains (his permaculture vegetable garden is proof of this), Mauro Colagreco is at the top of his game. In tune with lunar cycles, transcending the seasons and the region, his cuisine is a daily ode to aromatic plants, flowers, vegetables and citrus fruits. An unforgettable experience."
